threshold,accuracy,f1,precision,recall
0.71,0.7595385980479148,0.6332882273342354,0.936,0.4785276073619632
0.715,0.7595385980479148,0.6312925170068027,0.943089430894309,0.47443762781186094
0.72,0.7604259094942325,0.6311475409836066,0.9506172839506173,0.4723926380368098
0.725,0.7559893522626442,0.6217331499312242,0.9495798319327731,0.4621676891615542
0.73,0.7533274179236912,0.6160220994475138,0.948936170212766,0.4560327198364008
0.735,0.7497781721384206,0.6083333333333333,0.948051948051948,0.44785276073619634
0.74,0.748890860692103,0.6063977746870653,0.9478260869565217,0.4458077709611452
0.745,0.7480035492457853,0.6033519553072626,0.9515418502202643,0.44171779141104295
0.75,0.7409050576752441,0.5852272727272727,0.958139534883721,0.4212678936605317
0.755,0.7373558118899733,0.5771428571428572,0.957345971563981,0.4130879345603272
0.76,0.7338065661047027,0.5689655172413793,0.9565217391304348,0.4049079754601227
0.765,0.7320319432120674,0.5648414985590778,0.9560975609756097,0.40081799591002043
0.77,0.7320319432120674,0.5623188405797102,0.9651741293532339,0.3967280163599182
0.775,0.7275953859804791,0.5505124450951684,0.9690721649484536,0.38445807770961143
0.78,0.7240461401952085,0.5419734904270986,0.968421052631579,0.37627811860940696
0.785,0.7222715173025732,0.5362962962962963,0.9731182795698925,0.37014314928425357
0.79,0.7187222715173026,0.5275707898658718,0.9725274725274725,0.3619631901840491
0.795,0.7133984028393966,0.5142857142857142,0.9715909090909091,0.3496932515337423
0.8,0.7089618456078084,0.503030303030303,0.9707602339181286,0.3394683026584867
